ReTr(Lx),ReTr(Ly),ImTr(Lx),ImTr(Ly)
-0.13036, 0.0486723, 0.117461, 0.00173879
-0.13036, 0.0486723, 0.117461, 0.00173879
-0.13036, 0.0486723, 0.117461, 0.00173879
-0.120009, 0.070781, 0.0145526, -0.094568
-0.0354129, -0.061687, -0.00573454, -0.0441233
0.0174421, -0.0519151, 0.00538745, -0.0178153
0.00324665, 0.115289, 0.0550555, -0.00998521
0.00324665, 0.115289, 0.0550555, -0.00998521
-0.0266125, 0.116426, 0.0485186, 0.147406
-0.0266125, 0.116426, 0.0485186, 0.147406
-0.0771727, 0.0780213, -0.002306, 0.0187264
-0.0553597, 0.0890733, -0.0447292, -0.0499088
-0.0364994, 0.127291, 0.0262556, -0.0739013
-0.0364994, 0.127291, 0.0262556, -0.0739013
-0.0978766, 0.144684, 0.0349215, -0.0874124
-0.0978766, 0.144684, 0.0349215, -0.0874124
-0.0978766, 0.144684, 0.0349215, -0.0874124
-0.174141, 0.0847637, -0.0124909, 0.00347599
-0.182806, 0.151968, 0.0961185, -0.0177931
-0.0800344, 0.0699174, 0.162823, -0.0214228
-0.0800344, 0.0699174, 0.162823, -0.0214228
-0.01327, 0.137939, 0.0369569, -0.0233252
-0.01327, 0.137939, 0.0369569, -0.0233252
-0.01327, 0.137939, 0.0369569, -0.0233252
-0.109004, 0.00256445, 0.0436435, 0.0518352
-0.0716434, 0.0396943, 0.0628698, -0.00371985
-0.08964, -0.0263817, 0.00829407, 0.0289277
-0.0427266, -0.0705171, 0.0361578, -0.150594
-0.00533621, -0.039982, -0.000356146, -0.065694
-0.0787124, -0.11093, 0.0464124, -0.178138
-0.0724796, -0.018617, 0.0880204, -0.198161
-0.088696, 0.03126, 0.0813791, -0.11391
-0.088696, 0.03126, 0.0813791, -0.11391
-0.0733405, 0.0788715, 0.0333035, -0.145115
-0.103353, 0.000295927, 0.0339199, -0.18816
-0.0391589, -0.00333123, 0.0540066, 0.0130066
0.0276206, 0.0276181, 0.0601061, -0.0261819
0.0544416, 0.0939477, 0.0362249, -0.0238184
0.0544416, 0.0939477, 0.0362249, -0.0238184
0.0952153, 0.0350744, -0.0153743, -0.0787779
0.129218, -0.0658104, 0.0204921, 0.0698994
0.0864865, 0.00891221, -0.046864, 0.080847
0.106596, -0.0123289, -0.0218141, 0.107852
0.0459699, 0.0527671, -0.029094, 0.0494482
0.0578482, 0.026053, 0.0378301, 0.166226
0.0578482, 0.026053, 0.0378301, 0.166226
0.0578482, 0.026053, 0.0378301, 0.166226
0.0578482, 0.026053, 0.0378301, 0.166226
-0.0508479, 0.042562, 0.0595986, 0.096434
0.0312655, 0.0507111, 0.15941, 0.0183401
0.0291895, 0.036168, 0.0591786, 0.069629
-0.0381792, 0.0378906, 0.00678756, 0.0134929
0.0361046, 0.00949976, 0.0434031, -0.0943785
-0.0710581, 0.0128034, 0.0482205, 0.101922
0.0471834, -0.0445179, 0.0596059, -0.0036314
0.134126, 0.083083, 0.106962, 0.0695988
0.134126, 0.083083, 0.106962, 0.0695988
