MDTU,min_width,max_width
760,0.162547,0.101173
761,0.16506,0.102464
762,0.168389,0.100919
763,0.165895,0.10149
764,0.164063,0.102555
765,0.162961,0.10176
766,0.165339,0.100488
767,0.163011,0.100166
768,0.166795,0.102147
769,0.164269,0.100536
770,0.169661,0.103913
771,0.171335,0.103122
772,0.171335,0.103122
773,0.169353,0.103436
774,0.162766,0.10026
775,0.163976,0.101597
776,0.163166,0.101424
777,0.163259,0.099748
778,0.167081,0.100877
779,0.164951,0.101105
780,0.161507,0.10036
781,0.16122,0.100785
782,0.161864,0.0996649
783,0.163075,0.100778
784,0.168396,0.101207
785,0.166685,0.102913
786,0.166685,0.102913
787,0.165933,0.101579
788,0.167408,0.102935
789,0.167223,0.102923
790,0.168435,0.101851
791,0.164822,0.102984
792,0.162938,0.10077
793,0.161994,0.101135
794,0.161994,0.101135
795,0.161994,0.101135
796,0.166107,0.101477
797,0.16474,0.101099
798,0.16139,0.101098
799,0.160559,0.099978
800,0.163438,0.100395
801,0.163922,0.101025
802,0.165362,0.100827
803,0.164691,0.10137
804,0.165714,0.102634
805,0.167579,0.102149
806,0.162826,0.101307
807,0.165575,0.103603
808,0.167014,0.100231
809,0.163726,0.101204
810,0.164849,0.101888
811,0.166013,0.103795
812,0.1599,0.10119
813,0.163893,0.103079
814,0.164929,0.100589
815,0.164215,0.10203
816,0.165876,0.102096
817,0.162732,0.102762
818,0.165871,0.101667
819,0.165936,0.101845
820,0.164902,0.103047
821,0.161773,0.101005
822,0.164217,0.099862
823,0.165995,0.100661
824,0.167158,0.102783
825,0.166112,0.102383
826,0.16614,0.100693
827,0.165975,0.100617
828,0.168944,0.102271
829,0.167204,0.100995
830,0.165552,0.10146
831,0.166622,0.101421
832,0.171154,0.10219
833,0.167825,0.103396
834,0.166675,0.102469
835,0.16305,0.101035
836,0.16305,0.101035
837,0.164945,0.102226
838,0.164894,0.101425
839,0.167235,0.103156
840,0.169285,0.103224
841,0.164226,0.104229
842,0.167056,0.102733
843,0.162708,0.101645
844,0.167584,0.102184
845,0.170924,0.104486
846,0.165666,0.103978
847,0.16594,0.103079
848,0.168317,0.103181
849,0.167292,0.104309
850,0.167252,0.103349
851,0.164845,0.103046
852,0.165633,0.102661
853,0.164714,0.102314
854,0.163382,0.101643
855,0.168784,0.101708
856,0.1651,0.100317
857,0.163359,0.100963
858,0.166283,0.102298
859,0.163245,0.102352
860,0.163707,0.102611
861,0.164892,0.101986
862,0.167732,0.103057
863,0.162502,0.101259
864,0.167463,0.101348
865,0.162062,0.100955
866,0.166831,0.102185
867,0.166571,0.101037
868,0.169283,0.102852
869,0.164207,0.101123
870,0.164793,0.101808
871,0.164793,0.101808
872,0.164338,0.102187
873,0.165449,0.100063
874,0.16683,0.10178
875,0.16717,0.101762
876,0.170807,0.104614
877,0.167332,0.101112
878,0.16961,0.10283
879,0.167109,0.101942
880,0.166998,0.100847
881,0.166826,0.103993
882,0.168268,0.101756
883,0.165124,0.103023
884,0.166238,0.1039
885,0.166238,0.1039
886,0.163624,0.0993965
887,0.163321,0.100777
888,0.164293,0.101928
889,0.165089,0.100753
890,0.169807,0.102959
891,0.169807,0.102959
892,0.164591,0.102308
893,0.168363,0.103839
894,0.168376,0.10224
895,0.170331,0.102315
896,0.170331,0.102315
897,0.168611,0.100541
898,0.168897,0.102221
899,0.166753,0.102959
900,0.167252,0.10108
901,0.170339,0.102795
902,0.169538,0.101933
903,0.166307,0.102914
904,0.163651,0.10199
905,0.164935,0.101608
906,0.164729,0.102169
907,0.163359,0.101229
908,0.166573,0.102533
909,0.166602,0.10207
910,0.165737,0.102279
911,0.168113,0.101789
912,0.167368,0.101957
913,0.167043,0.101438
914,0.167078,0.102893
