MDTU,S_B
1517,1.00046
1518,0.993338
1519,0.988989
1520,1.00117
1521,0.99405
1522,1.00322
1523,0.994329
1524,0.996101
1525,0.99561
1526,1.00065
1527,0.995176
1528,0.997116
1529,0.992685
1530,1.00227
1531,0.997177
1532,0.999831
1533,0.995037
1534,0.996786
1535,0.996207
1536,0.995297
1537,1.00072
1538,1.00072
1539,0.995969
1540,0.997749
1541,0.994448
1542,1.00075
1543,1.00906
1544,1.00079
1545,0.996903
1546,1.00344
1547,0.999022
1548,1.00586
1549,0.999577
1550,0.992021
1551,0.999642
1552,1.00017
1553,1.00321
1554,0.99156
1555,1.00348
1556,0.992464
1557,0.997454
1558,0.999812
1559,0.999812
1560,0.999812
1561,0.997776
1562,0.992787
1563,1.00181
1564,1.00064
1565,1.00323
1566,1.00354
1567,0.998628
1568,0.9917
1569,0.996117
1570,0.999288
1571,0.998741
1572,0.998662
1573,0.997565
1574,1.0051
1575,0.996377
1576,1.00166
1577,1.00189
1578,1.00487
1579,1.00007
1580,0.985416
1581,0.994008
1582,0.993465
1583,1.00045
1584,1.01
1585,1.00324
1586,1.00158
1587,0.993505
1588,0.998263
1589,0.99837
1590,0.9921
1591,0.997311
1592,0.997026
1593,0.995874
1594,0.996188
1595,0.98933
1596,0.98933
1597,0.994539
1598,1.0039
1599,1.00304
1600,1.00015
1601,0.998996
1602,1.00098
1603,0.994881
1604,0.996325
1605,0.997968
1606,0.99461
1607,0.996259
1608,0.992673
1609,0.996022
1610,0.996588
1611,1.00542
1612,1.00084
1613,0.996533
1614,0.995477
1615,0.994837
1616,0.999026
1617,0.99702
1618,0.995647
1619,0.992388
1620,0.994964
1621,0.996808
1622,0.998904
1623,0.998248
1624,1.00089
1625,0.997009
1626,1.00428
1627,1.00198
1628,1.00198
1629,0.997818
1630,0.998107
1631,1.00368
1632,0.998769
1633,0.998013
1634,0.989378
1635,0.989378
1636,0.998062
1637,0.996211
1638,0.997562
1639,0.993193
1640,0.99507
1641,1.00505
1642,1.00497
1643,1.0071
1644,0.999451
1645,1.00576
1646,1.0016
1647,0.996358
1648,0.995049
1649,0.997964
1650,0.997004
1651,0.991417
1652,0.998763
1653,1.00048
1654,0.998423
1655,1.00346
1656,0.996244
1657,0.995838
1658,1.00096
1659,1.00346
1660,0.994027
1661,0.996485
1662,0.995071
1663,1.00137
1664,0.991203
1665,0.996263
1666,0.991629
1667,0.992318
1668,0.999491
1669,0.993616
1670,0.997126
1671,0.992707
1672,0.990104
1673,0.997438
1674,0.990281
1675,0.994355
1676,0.993764
1677,0.999821
1678,1.0012
1679,1.00112
1680,0.993696
1681,0.995583
1682,0.995583
1683,1.00026
1684,0.996918
1685,0.99314
1686,1.00339
1687,0.995009
1688,0.9985
1689,0.99636
1690,0.999502
1691,1.00489
1692,0.985809
1693,0.9932
