MDTU,plaq_ss,plaq_st
978,1.01636,1.01645
979,1.00613,1.02327
980,1.00996,1.02435
981,1.02147,1.01747
982,1.01565,1.01849
983,1.01838,1.01189
984,1.03528,1.01178
985,1.02889,1.01056
986,1.03381,1.01222
987,0.996807,1.0234
988,0.996807,1.0234
989,1.00897,1.0236
990,1.01425,1.0184
991,1.00866,1.02947
992,1.00693,1.01067
993,1.04264,1.01635
994,1.01538,1.0071
995,1.01836,1.02189
996,1.02999,1.00823
997,1.01964,1.02107
998,1.0174,1.01613
999,1.00348,1.02033
1000,1.00348,1.02033
1001,1.01539,1.01423
1002,1.01332,1.00832
1003,1.0084,1.02482
1004,1.00488,1.03631
1005,1.00313,1.0226
1006,1.02143,1.02474
1007,1.01947,1.01904
1008,1.01939,1.00542
1009,1.04809,1.01856
1010,1.01385,1.0122
1011,1.03363,1.00995
1012,1.00439,1.01467
1013,0.997251,1.01375
1014,0.997251,1.01375
1015,1.02166,1.01229
1016,1.02213,1.00172
1017,1.01808,1.02055
1018,1.01014,1.02692
1019,1.00091,1.01476
1020,1.02157,1.02037
1021,1.01269,1.01955
1022,1.02021,1.00993
1023,1.02381,1.00757
1024,1.02897,1.01491
1025,1.01124,1.01345
1026,1.00528,1.01353
1027,1.00528,1.01353
1028,1.00528,1.01353
1029,1.01403,1.01542
1030,1.00606,1.01469
1031,1.04035,1.01029
1032,1.02689,1.00467
1033,1.01861,1.00532
1034,1.01693,1.02405
1035,1.01371,1.02457
1036,1.01021,1.0263
1037,0.998462,1.01416
1038,1.02751,1.02774
1039,1.01758,1.02124
1040,1.01384,1.01318
1041,1.00756,1.01668
1042,1.01799,1.01569
1043,1.00686,1.0183
1044,1.00454,1.01913
1045,1.02234,1.02795
1046,1.0112,1.00553
1047,1.00497,1.02293
1048,1.01139,1.01159
1049,1.0042,1.02385
1050,1.00124,1.03053
1051,0.980606,1.02854
1052,0.980606,1.02854
1053,1.00107,1.01862
1054,1.00199,1.01711
1055,1.01761,1.01709
1056,1.02566,1.02365
1057,1.02566,1.02365
1058,1.02566,1.02365
1059,1.03209,1.00884
1060,1.03022,1.01839
1061,1.02725,1.01093
1062,1.00634,1.02774
1063,1.01532,1.02079
1064,1.01876,1.02587
1065,1.01924,1.00983
1066,1.02068,1.02674
1067,1.02032,1.01896
1068,1.00876,1.01553
1069,1.02763,1.02316
1070,1.03364,1.02044
1071,1.00277,1.02117
1072,1.0238,1.03889
1073,0.999696,1.02201
1074,1.00906,1.02252
1075,1.01324,1.02375
1076,0.998109,1.02296
1077,1.00817,1.02797
1078,1.00211,1.0188
1079,1.00538,1.01741
1080,1.00905,1.02554
1081,1.01582,1.01533
1082,1.00367,1.03166
1083,1.01355,1.02328
1084,0.997423,1.02893
1085,1.00452,1.02904
1086,0.997907,1.03171
1087,1.02692,1.01378
1088,1.01477,1.01414
1089,1.01484,1.01719
1090,1.01705,1.01288
1091,1.0115,1.02275
1092,1.01719,1.01269
1093,1.01886,1.02729
1094,1.04053,1.00481
1095,1.02576,1.02175
1096,1.02612,1.02259
1097,1.00061,1.02251
1098,1.01833,1.01081
1099,1.02426,1.02578
1100,1.02426,1.02578
1101,0.996874,1.02188
1102,1.01257,1.03099
1103,1.01904,1.01923
1104,1.01238,1.02563
1105,1.03402,1.01741
1106,1.02187,1.02227
1107,1.00992,1.02598
1108,1.03518,1.02199
1109,1.02294,1.02304
1110,1.02173,1.02281
1111,1.02474,1.00672
1112,1.02113,1.02274
1113,1.00333,1.01921
1114,1.03521,1.00599
1115,1.04536,1.00311
1116,1.00007,1.01607
1117,1.02374,1.02585
1118,0.992535,1.02289
1119,1.03137,1.02832
1120,0.999944,1.01643
1121,1.03595,1.02304
1122,1.0145,1.02292
1123,1.01999,1.0183
1124,1.01943,1.01878
1125,0.986285,1.01906
1126,1.01369,1.01938
1127,1.02423,1.00648
1128,1.02174,1.02233
1129,1.01415,1.00969
1130,1.01119,1.02044
1131,1.01174,1.0224
1132,1.01346,1.01607
1133,1.02964,1.01422
1134,1.01743,1.01295
1135,1.01388,1.01282
1136,1.02396,1.02225
1137,1.02475,0.997591
1138,1.0269,1.0164
1139,1.03418,0.991919
1140,1.02109,1.01162
1141,1.03167,1.01672
1142,1.0317,1.01203
1143,1.02074,1.02002
1144,1.02635,1.00988
1145,1.0296,1.01734
1146,1.01497,1.014
1147,1.01796,1.0171
