T,G,F
1093,0.01846,0.02202
1094,0.01852,0.02201
1095,0.01847,0.02203
1096,0.01848,0.02197
1097,0.01851,0.02204
1098,0.0185,0.02203
1099,0.01847,0.02204
1100,0.01855,0.02202
1101,0.01855,0.022
1102,0.01855,0.02196
1103,0.01854,0.02197
1104,0.01857,0.02197
1105,0.01856,0.02196
1106,0.01857,0.02192
1107,0.01855,0.0219
1108,0.01853,0.02197
1109,0.01852,0.02191
1110,0.01855,0.02201
1111,0.01849,0.02197
1112,0.01851,0.022
1113,0.01849,0.022
1114,0.01852,0.02199
1115,0.01849,0.02202
1116,0.01851,0.02201
1117,0.01852,0.02199
1118,0.01853,0.02199
1119,0.01854,0.02196
1120,0.01856,0.02196
1121,0.01864,0.02193
1122,0.01852,0.02196
1123,0.01851,0.02197
1124,0.01853,0.02195
1125,0.01853,0.02198
1126,0.01852,0.022
1127,0.01858,0.02194
1128,0.0185,0.02196
1129,0.01852,0.02197
1130,0.01859,0.02198
1131,0.01855,0.02199
1132,0.01855,0.02194
1133,0.01854,0.02194
1134,0.01854,0.02192
1135,0.01857,0.02195
1136,0.01852,0.02194
1137,0.01859,0.02192
1138,0.01863,0.02192
1139,0.01854,0.02195
1140,0.01852,0.02197
1141,0.01856,0.02196
1142,0.01852,0.02194
1143,0.01855,0.02196
1144,0.01848,0.02199
1145,0.01852,0.02199
1146,0.01853,0.022
1147,0.01852,0.02195
1148,0.01851,0.02196
1149,0.01849,0.02202
1150,0.01851,0.02197
1151,0.01852,0.02201
1152,0.0185,0.02206
1153,0.01847,0.02201
