t,cg_iters
1959,2638
1960,2539
1961,2577
1962,2593
1963,2593
1964,2714
1965,2605
1966,2703
1967,2596
1968,2571
1969,2550
1970,2569
1971,2509
1972,2485
1973,2431
1974,2412
1975,2387
1976,2398
1977,2404
1978,2408
1979,2401
1980,2449
1981,2385
1982,2439
1983,2403
1984,2457
1985,2509
1986,2451
1987,2503
1988,2571
1989,2522
1990,2497
1991,2403
1992,2434
1993,2467
1994,2521
1995,2536
1996,2470
1997,2482
1998,2518
1999,2538
2000,2516
2001,2469
2002,2508
2003,2434
2004,2576
2005,2605
2006,2555
2007,2563
2008,2583
2009,2639
2010,2651
2011,2601
2012,2704
2013,2652
2014,2660
2015,2668
2016,2653
2017,2818
2018,3006
2019,2867
2020,2789
2021,2804
2022,2734
2023,2697
2024,2799
2025,2930
2026,2865
2027,2990
2028,2987
2029,2775
2030,2852
2031,3048
2032,3120
2033,3204
2034,3074
2035,2978
2036,3049
2037,3078
2038,3036
2039,2988
2040,2970
2041,2949
2042,2981
2043,3019
2044,3012
2045,3150
2046,3165
2047,3060
2048,3166
2049,3259
2050,3165
2051,3125
2052,3073
2053,3210
2054,3008
2055,2904
2056,2825
2057,2920
2058,2861
2059,2964
2060,3080
2061,3219
2062,3238
2063,3180
2064,3370
2065,3446
2066,3471
2067,3472
2068,3673
2069,3622
2070,3799
2071,3806
2072,4062
2073,4511
2074,4095
2075,3391
2076,3404
2077,3358
2078,3447
2079,3621
2080,3698
2081,3379
2082,3285
2083,3233
2084,3250
2085,3233
2086,3279
2087,3135
2088,3181
2089,3259
2090,3134
2091,2972
2092,2941
2093,2906
2094,3011
2095,3443
2096,3743
2097,3305
2098,3269
2099,3265
2100,3106
2101,3060
2102,3020
2103,3052
2104,3064
2105,3049
2106,2877
2107,2876
2108,2928
2109,3053
2110,3197
2111,3341
2112,3230
2113,3085
2114,2926
2115,2931
2116,2991
2117,3045
2118,3094
2119,3133
2120,3073
2121,3026
2122,3075
2123,3173
2124,3043
2125,2999
2126,2909
2127,3067
2128,3027
2129,3031
2130,2964
2131,3015
2132,3108
2133,2995
2134,3042
2135,3049
2136,3073
2137,3027
2138,3024
2139,2974
2140,2990
2141,3062
2142,3000
2143,2911
2144,2795
2145,2801
2146,2704
2147,2590
2148,2689
2149,2644
2150,2720
2151,2698
2152,2789
2153,2754
2154,2740
2155,2698
2156,2612
2157,2668
2158,2771
2159,2824
2160,2754
2161,2808
2162,2807
2163,2729
2164,2676
2165,2647
2166,2648
2167,2723
2168,2718
2169,2637
2170,2820
2171,2841
2172,2862
2173,2739
2174,2826
2175,3033
2176,2954
2177,2648
2178,2506
2179,2532
2180,2473
2181,2510
2182,2628
2183,2533
2184,2611
2185,2642
2186,2711
2187,2695
2188,2648
2189,2568
2190,2533
2191,2661
2192,2638
2193,2633
2194,2645
2195,2830
2196,3019
2197,3339
2198,3433
2199,3065
2200,2944
2201,2726
2202,2799
2203,2721
2204,2950
2205,3041
2206,2944
2207,2690
2208,2665
2209,2777
2210,2970
2211,2880
2212,2848
2213,2644
2214,2684
2215,2731
2216,2736
2217,2721
2218,2718
2219,2648
2220,2556
2221,2648
2222,2671
2223,2510
2224,2480
2225,2497
2226,2601
2227,3351
2228,3585
2229,3095
2230,2950
2231,2693
2232,2436
2233,2674
2234,2888
2235,2777
2236,2877
2237,2867
2238,2837
2239,2768
2240,2945
2241,2615
2242,2604
2243,2727
2244,2513
2245,2440
2246,2501
2247,2694
2248,2790
2249,2606
2250,2487
2251,2436
2252,2461
2253,2424
2254,2471
2255,2499
2256,2602
